,count,mean,std,min,25%,50%,75%,max
Nay Pyi Taw,9838.0,29.30814189875991,21.43888120942494,3.8,9.6,23.7,45.1,160.5
Netrakona,40900.0,55.931825183374094,40.8545175830075,2.0,24.1,42.9,78.6,340.7
New Delhi,41782.0,100.12473433535972,82.7125196668749,4.5,42.2,72.2,135.1,950.5
Nirmal,38588.0,39.41390587747486,22.8872903605665,3.1,19.9,36.3,54.4,213.9
Nizamabad,41336.0,39.733937729823886,22.77260506089195,3.3,20.1,36.7,55.3,226.0
Noida,41780.0,100.1461524652944,83.40374182772304,3.1,41.4,72.0,135.3,925.9
North Lakhimpur,31366.0,26.372030223809222,17.505595449984437,3.5,12.8,21.1,36.2,203.7
Nowrangapur,36960.0,44.04280844155844,24.49722919370441,5.7,24.6,38.6,59.6,397.6
Nyaunglebin,30946.0,27.254808375880568,19.666044213920358,2.5,11.2,21.1,40.4,132.9
Obra,38861.0,72.27888371374901,50.45402497757604,3.5,34.0,59.0,97.9,522.7
Orai,39585.0,72.50660856384995,52.91908295620417,6.4,32.9,56.9,96.6,594.0
Pabna,41932.0,64.22291328818086,46.15900970018936,1.5,28.2,49.2,89.8,384.0
Pakokku,2509.0,23.73332004782782,17.45579715292372,4.9,10.7,16.8,34.5,80.2
Palang,41365.0,63.304190740964586,48.63362474121553,1.3,26.2,46.8,88.1,406.8
Paloncha,40891.0,38.101645838937664,22.866961761168042,3.7,19.8,33.0,52.6,317.1
Paltan,41335.0,71.71658158945202,59.044388054489545,1.5,27.7,51.2,99.8,552.5
Palwal,41781.0,79.08782580598836,57.973263670631916,4.8,38.2,62.9,101.2,615.0
Palwancha,40991.0,38.02937961991657,22.82805770682445,3.6,19.8,33.0,52.5,307.3
Panihati,41677.0,64.64036758883798,53.01711506907774,1.3,25.1,47.4,90.8,723.2
Panipat,39071.0,74.06633052647744,53.55743260724022,5.7,37.0,58.7,96.2,749.2
Par Naogaon,41164.0,60.30759037022641,41.911522479661215,4.8,27.1,47.1,84.4,382.8
Paradip Garh,29850.0,45.40869681742043,28.203106661819053,5.1,22.8,37.9,62.4,224.1
Pathein,16608.0,26.75237837186898,18.119690587110494,3.7,9.5,23.8,40.1,126.7
Patiya,30635.0,43.49598988085523,29.60271704967546,4.6,18.9,35.6,62.4,258.3
Patna,41780.0,77.2423803255146,62.13151793573072,4.3,32.4,58.7,104.9,752.0
Pilibhit,41470.0,73.44725584760069,51.981708280867736,5.5,34.6,59.2,99.1,643.1
Pilkhua,41779.0,89.29325378778813,72.69189311420351,1.9,36.9,66.6,121.1,942.4
Pirojpur,41192.0,57.241136628471544,41.93519274106731,3.7,24.8,43.5,80.2,307.6
Pithampur,32358.0,46.963004512021755,29.002033621081434,2.4,25.4,39.5,63.3,653.8
Punasa,30716.0,43.63994986326345,25.212255835110447,4.7,24.1,37.7,58.8,381.0
Puri,27960.0,45.30880901287553,27.825279110910312,4.8,23.4,38.3,61.5,237.2
Purnia,41199.0,59.5066105973446,41.798314616029835,3.8,26.2,47.6,83.6,495.6
Puruliya,41291.0,62.1055932285486,40.45644620446643,4.5,31.6,52.2,83.0,422.4
Pyapon,16608.0,25.89064306358381,19.638378096405166,2.4,7.9,21.9,39.5,146.4
Pyay,16607.0,28.784054916601438,18.516094664828035,4.1,11.1,25.7,43.2,110.3
Pyin Oo Lwin,14800.0,28.763675675675678,17.311454492774388,4.9,13.0,25.6,41.5,95.7
Pyinmana,9845.0,29.28229558151346,21.667838843743915,3.7,9.5,23.5,45.0,164.5
Quthbullapur,41332.0,43.06840220652279,26.303309144715822,1.3,21.1,38.2,61.3,301.6
Raebareli,39796.0,79.0376268971756,56.71141823276604,4.5,36.5,63.6,106.2,707.8
Raghogarh,32620.0,52.59278356836297,31.4605982150987,6.0,28.2,45.6,70.2,437.1
Raiganj,39418.0,57.59751255771474,40.1882488531334,3.9,25.4,45.8,80.8,436.4
Raigarh,30281.0,52.541316336976976,33.20954125082407,3.8,27.4,45.4,69.8,424.0
Raipur,41248.0,58.14740229829326,43.486789884617146,1.3,24.6,43.9,81.0,375.4
Raipur.1,30319.0,46.5574326330024,26.64530694451768,6.4,25.0,41.0,63.3,243.1
Raj-Nandgaon,38378.0,47.06326280681641,26.44759344548277,6.4,25.5,42.1,63.8,244.6
Rajshahi,41793.0,62.796609480056475,43.202580756865515,4.4,28.5,49.7,88.3,438.4
Ramagundam,41335.0,40.09678480706424,22.75156127592367,4.0,20.9,36.8,55.5,226.2
Ramganj,41237.0,58.69409268375489,44.16953155430437,1.3,24.7,44.2,81.9,386.5
Ramgarh,39235.0,64.178124123869,40.92115847626751,5.8,33.9,53.9,84.7,475.7
Ramgundam,41330.0,40.096594483426074,22.782270008939626,4.0,20.9,36.8,55.4,230.3
Rampur,41842.0,78.62079847999617,59.609726831592994,3.5,36.1,61.7,104.6,869.6
Rampur Hat,41926.0,64.26390306730907,42.98404089886476,4.3,30.0,52.8,90.1,535.5
Ranaghat,41996.0,64.15672087817887,47.35199092856569,2.7,27.6,49.1,90.3,584.7
Ranchi,38410.0,62.71430617026816,38.87597177849034,5.9,33.5,53.2,83.2,430.3
Rangpur,33147.0,51.333265453887236,36.66624034445889,5.1,22.1,39.3,72.5,340.0
Raniganj,41483.0,65.92088566400695,44.78288698137809,3.7,31.3,54.8,90.5,664.3
Rath,39558.0,67.53042368168259,48.49309452672923,6.9,31.2,53.4,89.8,611.9
Ratlam,32838.0,49.31491869175955,28.970209466869246,2.9,28.0,43.7,64.9,516.0
Renukut,38552.0,71.33094262295081,49.433015872478244,2.7,33.6,58.25,96.7,491.9
Rewa,38255.0,54.49361390667887,40.93917517412657,3.9,26.4,42.5,69.0,679.0
Rewari,41502.0,79.15636716302828,53.782932924883205,6.0,40.5,64.7,103.7,572.7
Rishra,41672.0,64.73782515837974,52.260339433399956,1.4,25.6,47.7,91.2,696.2
Rohtak,39071.0,76.7933761613473,57.41560185805391,3.5,37.6,61.2,99.0,738.3
Sagaing,11141.0,28.730885916883583,17.97873450131963,4.8,12.5,24.1,42.3,93.8
Saharanpur,41798.0,71.26647088377435,46.958895592645725,5.7,37.1,59.1,93.7,729.3
Saharsa,38896.0,63.09056586795558,45.93955304827739,4.5,27.4,49.9,88.7,530.5
Sahaswan,41820.0,81.35040889526543,60.054784328633595,4.9,36.4,63.8,109.8,583.5
Sahibganj,41384.0,61.25939735163348,41.52360325927664,4.9,27.9,49.7,86.1,449.1
Saidpur,33588.0,52.40847028700727,37.36240889599369,4.5,22.4875,40.5,74.1,360.8
Samastipur,41778.0,70.94194552156638,57.14552241823062,4.1,28.7,54.0,98.0,726.8
Sambalpur,30074.0,51.63354392498504,33.159815663202345,3.7,26.7,44.4,68.2,407.1
Sambhal,41824.0,83.07960501147667,63.02218552427468,2.7,37.1,64.7,112.4,729.8
Sandila,39831.0,86.62810499359796,63.135479686654755,3.5,39.2,69.2,116.6,676.1
Sandwip,30853.0,47.93554597608013,33.61793198465178,4.4,20.3,38.5,68.8,296.4
Sangareddi,41332.0,40.2386081002613,24.143539224489935,2.3,19.5,36.1,58.3,244.8
Sarishabari,41325.0,60.110085904416216,43.52095314863532,1.9,26.1,45.8,84.1,334.2
Satkania,30299.0,42.71441301693125,28.61961083348617,4.8,18.7,35.3,61.3,244.6
Satkhira,41994.0,60.55372196028004,45.66364561296006,2.7,25.6,45.4,85.4,503.0
Satna,37964.0,47.07987303761458,41.0225025804364,1.7,21.7,32.8,55.9,823.4
Saugor,30702.0,45.325767051006444,30.063305705557365,2.8,23.0,38.8,59.7,423.5
Secunderabad,41332.0,43.26629488048002,26.36867760811777,1.4,21.3,38.5,61.5,302.1
Sehore,30703.0,46.351610591798845,29.499392888079914,3.8,23.9,38.7,62.1,409.1
Sendhwa,36529.0,46.56725615264585,23.73591834488155,7.0,27.5,42.9,61.6,411.4
Seoni,39049.0,47.92419780276063,29.17661364854601,5.2,24.4,42.0,64.8,302.7
Serilingampalle,41332.0,40.9381266331172,25.181053764112004,1.5,19.8,36.1,58.5,241.8
Shahabad,40170.0,80.55777819268111,57.011227137483786,5.5,37.1,64.6,109.0,579.3
Shahdol,30606.0,52.37021172319153,33.63226369109999,6.5,26.0,43.4,71.2,381.8
Shahjanpur,40336.0,78.98622818326061,55.50044798721984,5.5,36.7,63.6,106.9,569.6
Shahzadpur,41367.0,64.3886745473445,47.43546801094751,1.6,27.7,48.6,89.6,365.4
Shajapur,32564.0,48.42906583957744,28.64975054378761,5.2,26.5,42.2,64.6,452.3
Shamli,41799.0,78.2508205937941,56.064983788608544,5.7,38.3,62.4,103.05,749.9
Shantipur,41996.0,64.41728617011144,47.05709208053254,2.7,28.0,49.8,90.6,592.4
Sheopur,35485.0,57.67285050021136,32.94037694402082,7.4,33.2,50.7,74.0,437.4
Sherkot,41844.0,76.81255496606445,56.01954309018923,3.8,36.1,61.0,103.0,799.3
Sherpur,41242.0,57.602476843993976,41.452718792450895,2.0,25.1,44.2,80.7,337.6
Shikohabad,41741.0,78.03290050549819,59.06630508443982,5.7,34.9,60.1,103.4,588.7
Shiliguri,34125.0,47.140700366300365,34.65938070755135,3.3,19.7,36.7,66.1,413.5
Shivpuri,35848.0,61.613886409283644,39.300899358160926,6.2,31.874999999999996,52.1,81.22500000000001,496.8
Shrirampur,41754.0,64.74809479331321,51.522624780496265,1.6,26.0,48.0,91.2,683.4
Shwebo,11450.0,28.251379912663758,17.343433973695802,4.8,13.2,23.0,41.4,88.6
Shyamnagar,41972.0,64.41272634137044,50.78791498586349,1.7,26.0,48.0,90.7,675.6
Sibsagar,28548.0,25.761874737284572,17.34982677447894,3.7,12.6,20.3,34.7,186.7
Siddipet,38591.0,40.542690005441685,23.17587903019533,3.5,20.8,37.0,57.1,178.3
Sidhi,38235.0,63.03287040669543,44.060673276194066,6.3,30.3,51.3,83.8,487.6
Sikandarabad,41780.0,91.04307084729534,72.10903237750674,1.5,37.975,68.6,124.4,780.6
Silchar,30059.0,38.54304700755181,27.212003326089675,2.3,16.9,30.6,54.2,321.7
Singrauli,38221.0,71.50602025064755,51.26074894227533,1.8,32.8,57.5,97.2,458.1
Sirajganj,41334.0,62.68050757245851,45.92523662179478,1.7,27.0,47.4,87.5,356.7
Sirsa,38193.0,57.97181158851098,37.91920345396602,5.2,33.6,49.7,72.3,783.3
Sirsilla,41338.0,40.48883593787798,22.98076775785216,3.7,20.8,37.275,56.9,203.7
Sitamarhi,41712.0,64.69258247027234,51.297400585233895,3.7,25.9,50.0,90.9,649.6
Sitapur,39871.0,79.80635424243182,55.8671961365059,5.4,37.1,64.8,108.0,592.4
Sittwe,10.0,64.32999999999984,13.623920956252972,42.3,55.474999999999994,69.9,74.82499999999999,79.6
Siuri,41484.0,65.65607101533121,43.87392194150525,4.2,31.1,54.4,91.5,591.1
Siwan,41878.0,69.37175963513062,51.94688443881636,5.1,29.7,54.6,96.4,589.8
Sonipat,41780.0,84.17042843465774,64.96012646028159,5.5,39.1,64.0,109.8,629.5
Sultanpur,39819.0,74.5152050528642,52.198656635474954,6.3,34.8,61.1,101.3,564.5
Supaul,41639.0,62.00242080741612,45.13233478917667,4.3,26.6,49.4,88.0,523.5
Suriapet,41341.0,38.77421325076801,22.56029307965141,3.4,20.2,34.6,53.8,186.3
Sylhet,30960.0,44.53332687338502,32.62785688748681,1.9,18.9,34.9,61.9,363.7
Syriam,18660.0,26.269356913183284,22.264890080832117,1.0,7.1,21.2,40.8,177.2
Tachilek,41402.0,27.3882807593836,22.38216146568845,2.2,11.4,19.4,36.5,302.1
Tanda,39887.0,71.6871010604959,49.70349664194596,5.7,33.6,58.9,98.3,510.7
Tandur,41337.0,38.23626775044149,22.28914288266571,3.2,19.0,34.9,54.1,191.8
